c1,c2,fitness,max_iters,omega,pop_size,run,prob_mut,prob_run_ga,step_size,n_clusters
2.0,1.49618,6.549169463550754e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.436095320552831e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.601464823449043e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.852494337386182e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.0224701638855756e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.9678035841170502e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.8264712157926663e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.2678511850833017e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.0673566803197936e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.0015100544645641e-11,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,8.566210468840753e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.792055706951912e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.909346286584031e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.885006376413762e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.621133867833947e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.457882103878283e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.200000076258436e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.9850360263231732e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.892597590403642e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.8724988142360692e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.48814180375723e-12,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.650693635465667e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.092988939403916e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.549390322326182e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.552717247900157e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.909073283366637e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.7643984736703244e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.0998851135031303e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.739592908157644e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.1080762088506e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.5078792871317292e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.1909906557639694e-13,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,6.07324014941848e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.297921170991956e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,3.733182256857973e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.9503038766799605e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.5090152599423726e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.8377170955118284e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.4392045215040346e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.388077936731727e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.2669059221721135e-14,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,7.938648175900982e-15,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,5.864415054170843e-15,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.312530784199571e-15,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,2.6920218613256535e-15,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,1.4236398519391659e-15,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,9.982687948840627e-16,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,8.200839948285348e-16,500,0.7298,200,1,0.05,0.1,0.2,15
2.0,1.49618,4.587142811813149e-16,500,0.7298,200,1,0.05,0.1,0.2,15
