run,fitness,omega,c1,c2
3,1722.8530363629525,0.7,1.4,1.4
3,1711.740530468992,0.7,1.4,1.4
3,1711.740530468992,0.7,1.4,1.4
3,1689.9148898403587,0.7,1.4,1.4
3,956.0388491338889,0.7,1.4,1.4
3,681.2551343997034,0.7,1.4,1.4
3,477.12254837575665,0.7,1.4,1.4
3,477.12254837575665,0.7,1.4,1.4
3,477.12254837575665,0.7,1.4,1.4
3,360.00780463817347,0.7,1.4,1.4
3,254.95561509835744,0.7,1.4,1.4
3,254.95561509835744,0.7,1.4,1.4
3,254.95561509835744,0.7,1.4,1.4
3,254.95561509835744,0.7,1.4,1.4
3,235.8961975331788,0.7,1.4,1.4
3,143.74946853309956,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,128.6802056412683,0.7,1.4,1.4
3,118.68693551275247,0.7,1.4,1.4
3,109.44459178963308,0.7,1.4,1.4
3,109.44459178963308,0.7,1.4,1.4
3,109.44459178963308,0.7,1.4,1.4
3,109.44459178963308,0.7,1.4,1.4
3,108.21685946322931,0.7,1.4,1.4
3,96.62981411331039,0.7,1.4,1.4
3,76.4123807264907,0.7,1.4,1.4
3,62.22791274183659,0.7,1.4,1.4
3,29.43803659098151,0.7,1.4,1.4
3,29.43803659098151,0.7,1.4,1.4
3,28.718785977367396,0.7,1.4,1.4
3,26.600212180192226,0.7,1.4,1.4
3,22.695249939944976,0.7,1.4,1.4
3,21.617496357720658,0.7,1.4,1.4
3,20.31972879042672,0.7,1.4,1.4
3,16.986507700022504,0.7,1.4,1.4
3,16.986507700022504,0.7,1.4,1.4
3,16.986507700022504,0.7,1.4,1.4
3,12.60458176111355,0.7,1.4,1.4
3,12.60458176111355,0.7,1.4,1.4
3,12.60458176111355,0.7,1.4,1.4
3,12.60458176111355,0.7,1.4,1.4
3,12.60458176111355,0.7,1.4,1.4
3,11.985048710751599,0.7,1.4,1.4
3,11.461160593057084,0.7,1.4,1.4
3,11.461160593057084,0.7,1.4,1.4
3,11.180607860041723,0.7,1.4,1.4
3,11.117732537357663,0.7,1.4,1.4
3,10.655997312895726,0.7,1.4,1.4
3,10.464710689541214,0.7,1.4,1.4
3,9.295809985926013,0.7,1.4,1.4
3,9.295809985926013,0.7,1.4,1.4
4,21689802430.190815,0.7,1.4,1.4
4,11968876042.904816,0.7,1.4,1.4
4,8012957212.371694,0.7,1.4,1.4
4,4991987519.40857,0.7,1.4,1.4
4,1011267039.3003379,0.7,1.4,1.4
4,610718221.8145425,0.7,1.4,1.4
4,502559331.3072887,0.7,1.4,1.4
4,199445445.59791845,0.7,1.4,1.4
4,126578463.88090158,0.7,1.4,1.4
4,53970149.10290494,0.7,1.4,1.4
4,13786316.401899153,0.7,1.4,1.4
4,13786316.401899153,0.7,1.4,1.4
4,9118033.757131279,0.7,1.4,1.4
4,7758599.490967753,0.7,1.4,1.4
4,6074837.024682368,0.7,1.4,1.4
4,6074837.024682368,0.7,1.4,1.4
4,6074837.024682368,0.7,1.4,1.4
4,5174929.350536432,0.7,1.4,1.4
4,4289121.707620032,0.7,1.4,1.4
4,1120205.0214623427,0.7,1.4,1.4
4,1120205.0214623427,0.7,1.4,1.4
4,1120205.0214623427,0.7,1.4,1.4
4,446583.116708462,0.7,1.4,1.4
4,380630.48685481685,0.7,1.4,1.4
4,380630.48685481685,0.7,1.4,1.4
4,281649.9193807752,0.7,1.4,1.4
4,281649.9193807752,0.7,1.4,1.4
4,281649.9193807752,0.7,1.4,1.4
4,149116.9424574115,0.7,1.4,1.4
4,49379.28599446478,0.7,1.4,1.4
4,49379.28599446478,0.7,1.4,1.4
4,49379.28599446478,0.7,1.4,1.4
4,40861.421540848365,0.7,1.4,1.4
4,40861.421540848365,0.7,1.4,1.4
4,40861.421540848365,0.7,1.4,1.4
4,10495.015233627597,0.7,1.4,1.4
4,10128.637543020128,0.7,1.4,1.4
4,10128.637543020128,0.7,1.4,1.4
4,9904.58561853401,0.7,1.4,1.4
4,8006.886007489772,0.7,1.4,1.4
4,8006.886007489772,0.7,1.4,1.4
4,7338.714778414957,0.7,1.4,1.4
4,7338.714778414957,0.7,1.4,1.4
4,7338.714778414957,0.7,1.4,1.4
4,7338.714778414957,0.7,1.4,1.4
4,4424.876122038417,0.7,1.4,1.4
4,3803.93940771832,0.7,1.4,1.4
4,2422.34198911142,0.7,1.4,1.4
4,2422.34198911142,0.7,1.4,1.4
4,1518.2298853190223,0.7,1.4,1.4
4,1518.2298853190223,0.7,1.4,1.4
4,1518.2298853190223,0.7,1.4,1.4
4,1161.3985133362062,0.7,1.4,1.4
4,990.1855439647669,0.7,1.4,1.4
4,402.85464449590506,0.7,1.4,1.4
4,402.85464449590506,0.7,1.4,1.4
4,324.39273683224604,0.7,1.4,1.4
4,197.81327446955524,0.7,1.4,1.4
4,197.81327446955524,0.7,1.4,1.4
4,197.81327446955524,0.7,1.4,1.4
4,140.44856754292033,0.7,1.4,1.4
4,140.44856754292033,0.7,1.4,1.4
4,140.44856754292033,0.7,1.4,1.4
