c1,c2,fitness,max_iters,omega,pop_size,run,n_clusters
1.49618,1.49618,-5220086.940934755,50,0.55,50,4,2
1.49618,1.49618,-7042474.815988539,50,0.55,50,4,2
1.49618,1.49618,-9106453.33654758,50,0.55,50,4,2
1.49618,1.49618,-12378772.397183802,50,0.55,50,4,2
1.49618,1.49618,-16002044.856570594,50,0.55,50,4,2
1.49618,1.49618,-21936488.130303737,50,0.55,50,4,2
1.49618,1.49618,-30351496.218176484,50,0.55,50,4,2
1.49618,1.49618,-39402861.056708775,50,0.55,50,4,2
1.49618,1.49618,-51734634.536665626,50,0.55,50,4,2
1.49618,1.49618,-66546261.80632159,50,0.55,50,4,2
1.49618,1.49618,-91042353.54398367,50,0.55,50,4,2
1.49618,1.49618,-115108748.61634073,50,0.55,50,4,2
1.49618,1.49618,-150176076.51572376,50,0.55,50,4,2
1.49618,1.49618,-190347919.94709954,50,0.55,50,4,2
1.49618,1.49618,-244602122.74396253,50,0.55,50,4,2
1.49618,1.49618,-306890403.3774822,50,0.55,50,4,2
1.49618,1.49618,-381974953.4681392,50,0.55,50,4,2
1.49618,1.49618,-458704811.61972255,50,0.55,50,4,2
1.49618,1.49618,-584714710.5601485,50,0.55,50,4,2
1.49618,1.49618,-751590637.5986334,50,0.55,50,4,2
1.49618,1.49618,-1013279553.1334733,50,0.55,50,4,2
1.49618,1.49618,-1281581242.0227466,50,0.55,50,4,2
1.49618,1.49618,-1806462726.2890487,50,0.55,50,4,2
1.49618,1.49618,-2393805726.5002947,50,0.55,50,4,2
1.49618,1.49618,-3231944148.9536533,50,0.55,50,4,2
1.49618,1.49618,-4400045711.3391485,50,0.55,50,4,2
1.49618,1.49618,-6126798160.812742,50,0.55,50,4,2
1.49618,1.49618,-8400205267.487469,50,0.55,50,4,2
1.49618,1.49618,-12295956575.776289,50,0.55,50,4,2
1.49618,1.49618,-16213465307.795748,50,0.55,50,4,2
1.49618,1.49618,-23122934416.0617,50,0.55,50,4,2
1.49618,1.49618,-31923914262.01464,50,0.55,50,4,2
1.49618,1.49618,2383.23045121688,50,0.55,50,5,2
1.49618,1.49618,2011.1444011777987,50,0.55,50,5,2
1.49618,1.49618,1179.4229592884753,50,0.55,50,5,2
1.49618,1.49618,-139.16100927134954,50,0.55,50,5,2
1.49618,1.49618,-3379.2620519221728,50,0.55,50,5,2
1.49618,1.49618,-8717.445168855247,50,0.55,50,5,2
1.49618,1.49618,-15089.139898363665,50,0.55,50,5,2
1.49618,1.49618,-27700.811184007936,50,0.55,50,5,2
1.49618,1.49618,-42406.2768392193,50,0.55,50,5,2
1.49618,1.49618,-71145.999784202,50,0.55,50,5,2
1.49618,1.49618,-99224.64710381729,50,0.55,50,5,2
1.49618,1.49618,-147343.7558044619,50,0.55,50,5,2
1.49618,1.49618,-197633.1538848634,50,0.55,50,5,2
1.49618,1.49618,-271092.666441314,50,0.55,50,5,2
1.49618,1.49618,-361320.9057533575,50,0.55,50,5,2
1.49618,1.49618,-459518.82465447794,50,0.55,50,5,2
1.49618,1.49618,-608422.8444275367,50,0.55,50,5,2
1.49618,1.49618,-805762.4295901232,50,0.55,50,5,2
1.49618,1.49618,-1054210.1597892493,50,0.55,50,5,2
1.49618,1.49618,-1350704.7514883424,50,0.55,50,5,2
1.49618,1.49618,-1727807.058189574,50,0.55,50,5,2
1.49618,1.49618,-2229974.208410474,50,0.55,50,5,2
1.49618,1.49618,-2895092.4533552784,50,0.55,50,5,2
1.49618,1.49618,-3662407.5187273324,50,0.55,50,5,2
1.49618,1.49618,-4711460.921488267,50,0.55,50,5,2
1.49618,1.49618,-6003742.595191691,50,0.55,50,5,2
1.49618,1.49618,-7644101.145359142,50,0.55,50,5,2
1.49618,1.49618,-9521072.670105338,50,0.55,50,5,2
1.49618,1.49618,-11759293.267210137,50,0.55,50,5,2
1.49618,1.49618,-14969919.0070872,50,0.55,50,5,2
1.49618,1.49618,-19618562.991874494,50,0.55,50,5,2
1.49618,1.49618,-24138600.227827955,50,0.55,50,5,2
1.49618,1.49618,-29920547.3383407,50,0.55,50,5,2
1.49618,1.49618,-38753721.35905146,50,0.55,50,5,2
1.49618,1.49618,-49431388.90747042,50,0.55,50,5,2
1.49618,1.49618,-62781862.29169792,50,0.55,50,5,2
1.49618,1.49618,-76596975.88417575,50,0.55,50,5,2
1.49618,1.49618,-97529339.99604708,50,0.55,50,5,2
1.49618,1.49618,-115479926.97706261,50,0.55,50,5,2
1.49618,1.49618,-139160591.8502733,50,0.55,50,5,2
1.49618,1.49618,-167819957.01862383,50,0.55,50,5,2
1.49618,1.49618,-198366260.83873814,50,0.55,50,5,2
1.49618,1.49618,-243755344.41810554,50,0.55,50,5,2
1.49618,1.49618,-292118582.83370674,50,0.55,50,5,2
1.49618,1.49618,-355988244.4920337,50,0.55,50,5,2
1.49618,1.49618,-446952667.96594775,50,0.55,50,5,2
1.49618,1.49618,-565423894.3678621,50,0.55,50,5,2
1.49618,1.49618,-720877742.435977,50,0.55,50,5,2
1.49618,1.49618,-933162461.0728121,50,0.55,50,5,2
1.49618,1.49618,-1193248070.7166994,50,0.55,50,5,2
